Brand,Model,Processor,Ram,SSD,Price,Display
Samsung,Galaxy,Intel Core,16 GB,512 GB,62990,39.62 cm
Acer,One,AMD Ryzen,8 GB,256 GB,39990,35.56 cm
Acer,Aspire,Intel Pentium,12 GB,512 GB,43990,39.62 cm
ASUS,Vivobook,AMD Ryzen,16 GB,512 GB,58990,39.62 cm
Neopticon,BrowseBook,Intel Celeron,4 GB,128 GB,16500,35.81 cm
ASUS,Vivobook,Intel Core,16 GB,512 GB,66990,35.56 cm
Lenovo,IdeaPad,Snapdragon X,16 GB,512 GB,56990,38.86 cm
ASUS,ExpertBook,Intel Core,8 GB,512 GB,46990,39.62 cm
HP,15,Intel Core,16 GB,512 GB,65990,39.62 cm
Lenovo,IdeaPad,Intel Core,8 GB,512 GB,48811,39.62 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,70490,38.86 cm
Samsung,Galaxy,Intel Core,16 GB,512 GB,105990,40.64 cm
HP,Victus,Intel Core,16 GB,512 GB,79990,39.62 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,40990,39.62 cm
Acer,Aspire,Intel Celeron,8 GB,256 GB,38650,29.46 cm
HP,OMEN,AMD Ryzen,24 GB,1 TB,134990,40.64 cm
Neopticon,BrowseBook,Intel Celeron,8 GB,256 GB,25990,35.81 cm
ASUS,Vivobook,Intel Core,8 GB,512 GB,40990,39.62 cm
HP,15,Intel Core,16 GB,512 GB,59990,39.62 cm
HP,14,Intel Core,16 GB,1 TB,82990,35.56 cm
HP,14,Intel Core,16 GB,512 GB,80567,35.56 cm
HP,250R,Intel Core,8 GB,512 GB,48490,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,16 GB,512 GB,55990,39.62 cm
HP,Victus,AMD Ryzen,24 GB,1 TB,114990,39.62 cm
HP,Intel,Intel Core,16 GB,512 GB,71990,39.62 cm
Lenovo,IdeaPad,AMD Ryzen,24 GB,1 TB,84490,38.86 cm
Lenovo,IdeaPad,Intel Core,16 GB,512 GB,56990,39.62 cm
Neopticon,BrowseBook,Intel Celeron,8 GB,256 GB,25990,39.62 cm
HP,Victus,Intel Core,24 GB,512 GB,119990,39.62 cm
DELL,PRO,Intel Core,8 GB,512 GB,46499,39.62 cm
Lenovo,Ultra,Intel Core,16 GB,1 TB,94786,40.64 cm
Acer,Aspire,AMD Ryzen,16 GB,512 GB,55990,39.62 cm
HP,Omnibook,AMD Ryzen,24 GB,1 TB,68150,39.62 cm
HP,15,AMD Ryzen,8 GB,512 GB,43990,39.62 cm
Infinix,Intel,Intel Core,8 GB,512 GB,36990,35.56 cm
MSI,Modern,Intel Core,16 GB,512 GB,45990,35.56 cm
Samsung,Galaxy,Intel Core,16 GB,512 GB,71990,39.62 cm
ASUS,Expertbook,Intel Core,8 GB,512 GB,45990,39.62 cm
